"ID";"NumberOfParkingMeter";"global_id";"AdmArea";"District";"StreetName";"Location";"longitude";"latitude";"ParkingZoneNumber";"geoData";
"1674";"Паркомат № 2304";"282084475";"Центральный административный округ";"Пресненский район";"улица Красная Пресня";"улица Красная Пресня, дом 1, строение 5";"37.576235";"55.76092";"0303";"{type=Point, coordinates=[37.5762350306793, 55.7609196316657]}";
"1675";"Паркомат № 2305";"282084476";"Центральный административный округ";"Басманный район";"Плетешковский переулок";"Плетешковский переулок, напротив дома 10";"37.6754129";"55.7702502";"3207";"{type=Point, coordinates=[37.6754129308245, 55.7702498316504]}";
"1676";"Паркомат № 2308";"282084477";"Центральный административный округ";"Таганский район";"Николоямская улица";"Николоямская улица, дом 11, строение 1";"37.650791635582";"55.747641440299";"2108";"{type=Point, coordinates=[37.6507916668026, 55.7476410715319]}";
"1677";"Паркомат № 2309";"282084479";"Центральный административный округ";"Таганский район";"Верхняя Радищевская улица";"Верхняя Радищевская улица, дом 19/3";"37.653045793254";"55.742997278653";"2108";"{type=Point, coordinates=[37.6530458237908, 55.7429969105023]}";
"1678";"Паркомат № 2310";"282084480";"Западный административный округ";"район Дорогомилово";"набережная Тараса Шевченко";"набережная Тараса Шевченко, дом 3";"37.572249";"55.748411";"0311";"{type=Point, coordinates=[37.5722490306691, 55.7484106315932]}";
"1679";"Паркомат № 2311";"282084482";"Центральный административный округ";"Таганский район";"Верхняя Радищевская улица";"Верхняя Радищевская улица, дом 11, строение 1";"37.650490525131";"55.743968373314";"2108";"{type=Point, coordinates=[37.650490555361, 55.7439680045112]}";
"1680";"Паркомат № 2313";"282084483";"Центральный административный округ";"Пресненский район";"Яузская улица";"Яузская улица, напротив дома 10";"37.55143";"55.763039";"2108";"{type=Point, coordinates=[37.5514300304272, 55.7630386316966]}";
"1681";"Паркомат № 2316";"282084484";"Центральный административный округ";"Басманный район";"Чистопрудный бульвар";"Чистопрудный бульвар, дом 14, строение 1";"37.643753";"55.761041";"0307";"{type=Point, coordinates=[37.643753030417, 55.7610406316187]}";
"1682";"Паркомат № 2319";"282084485";"Центральный административный округ";"Пресненский район";"Мантулинская улица";"Мантулинская улица, дом 5, строение 3";"37.550714";"55.755928";"0303";"{type=Point, coordinates=[37.5507140304213, 55.7559276316542]}";
"1683";"Паркомат № 2325";"282084486";"Центральный административный округ";"район Хамовники";"Зубовский бульвар";"Зубовский бульвар, дом 17";"37.591199034393";"55.736351009148";"0301";"{type=Point, coordinates=[37.5911990645726, 55.7363506405072]}";
"1684";"Паркомат № 2330";"282084487";"Центральный административный округ";"Тверской район";"Садовая-Самотёчная улица";"Садовая-Самотёчная улица, дом 1";"37.613042916672";"55.773579478873";"0304";"{type=Point, coordinates=[37.6130429475603, 55.7735791107159]}";
"1685";"Паркомат № 2334";"282084488";"Центральный административный округ";"Пресненский район";"Дружинниковская улица";"Дружинниковская улица, дом 11/2";"37.575564";"55.757449";"3203";"{type=Point, coordinates=[37.5755640306748, 55.7574486316453]}";
"1686";"Паркомат № 2335";"282084489";"Центральный административный округ";"район Хамовники";"Смоленская-Сенная площадь";"Смоленская-Сенная площадь, дом 23/25";"37.583228678574";"55.744073234972";"2101";"{type=Point, coordinates=[37.5832287096183, 55.7440728665594]}";
